TradeDate,000300.SH,399905.SZ,HSCEI.HI,NDX.GI,SPX.GI,GDAXI.GI,AU9999.SGE,TERGLU.FI,SPGOGUP.SPI,930849.CSI,H11008.CSI
2017/7/10,3653.6868,6206.5568,10214.58,5694.152,2427.43,12445.92,265.77,1720.920044,2482.38,154.9149,195.474
2017/7/11,3670.8086,6128.9942,10416.2,5709.799,2425.53,12437.02,267.55,1715.5,2492.52,154.8548,195.5285
2017/7/12,3658.8236,6132.9922,10517.37,5778.95,2443.25,12626.58,268.9,1731.189941,2516.24,155.0774,195.608
2017/7/13,3686.9205,6149.9337,10677.44,5793.356,2447.83,12641.33,269.1,1738.709961,2525.16,155.3451,195.6691
2017/7/14,3703.094,6128.7397,10728.07,5838.083,2459.27,12631.72,267.79,1756.540039,2547.55,155.355,195.7127
2017/7/17,3663.5575,5876.4592,10783.19,5839.736,2459.14,12587.16,270.3,1766.459961,2545.98,155.499,195.8628
2017/7/18,3667.1807,5938.4342,10755.28,5880.095,2460.61,12430.39,270.85,1771.069946,2540.35,155.2422,195.8357
2017/7/19,3729.7466,6059.3582,10860.52,5916.162,2473.83,12452.05,271.35,1784.319946,2571.93,155.3088,195.8694
2017/7/20,3747.8843,6099.2835,10846.83,5921.223,2473.45,12447.25,271.29,1780.170044,2576.12,155.4633,195.9163
2017/7/21,3728.5976,6126.1083,10787.13,5921.525,2472.54,12240.06,273.19,1778.670044,2552.3,155.5146,195.9245
2017/7/24,3743.4686,6167.1282,10820.95,5941.369,2469.91,12208.95,273.8,1776.099976,2540.22,155.4512,195.9915
2017/7/25,3719.559,6153.5984,10782.74,5930.646,2477.13,12264.31,273.84,1780.040039,2567.8,155.4719,196.0625
2017/7/26,3705.3884,6146.7028,10831.5,5950.734,2477.83,12305.11,272.3,1786.52002,2574.31,155.3127,196.1034
2017/7/27,3712.1947,6184.0207,10858.19,5917.028,2475.42,12212.04,274.6,1793.449951,2593.64,155.2802,196.0781
2017/7/28,3721.8914,6215.4633,10756.08,5908.916,2472.1,12162.7,274.29,1790.75,2593.28,155.3098,196.0953
2017/7/31,3737.8732,6298.0004,10827.84,5880.327,2470.3,12118.25,275.1,1791.069946,2598.63,155.3281,196.1635
2017/8/1,3770.3828,6286.5362,11024.13,5895.171,2476.35,12251.29,275.3,1799.97998,2611.6,155.0986,196.1557
2017/8/2,3760.8525,6251.8627,11055.42,5914.23,2477.57,12181.48,274.8,1786.300049,2610.13,155.1062,196.1651
2017/8/3,3727.8264,6261.9676,11002.2,5891.197,2472.16,12154.72,273.4,1785.280029,2588.32,155.0994,196.1353
2017/8/4,3707.5796,6225.1151,11003.08,5899.905,2476.83,12297.72,275.26,1786.48999,2592.36,155.0596,196.2021
2017/8/7,3726.7948,6303.4209,11054.41,5934.728,2480.91,12257.17,273.37,1785.030029,2584.17,154.7952,196.2535
2017/8/8,3732.2129,6303.716,11079.79,5926.352,2474.92,12292.05,273.02,1778.339966,2581.4,154.4961,196.1411
2017/8/9,3731.044,6340.022,10962.6,5919.392,2474.02,12154,274.14,1773.839966,2575.3,154.5525,196.0506
2017/8/10,3715.9208,6289.2174,10782.2,5788.192,2438.21,12014.3,275.29,1765.25,2553.02,154.6472,195.9938
2017/8/11,3647.3503,6161.1903,10572.97,5831.533,2441.32,12014.06,276.72,1754.310059,2531.02,154.9884,195.9984
2017/8/14,3694.6831,6292.6418,10707.24,5908.167,2465.84,12165.12,276.6,1777.349976,2528.8,155.262,196.1086
2017/8/15,3706.0566,6314.7608,10738,5907.73,2464.61,12177.04,274.7,1771.73999,2511.14,155.4136,196.1539
2017/8/16,3701.4207,6318.7986,10817.88,5917.42,2468.11,12263.86,274.5,1779.329956,2501.77,155.2309,196.1994
2017/8/17,3721.277,6366.034,10801.42,5796.317,2430.01,12203.46,277,1775.469971,2482.74,155.1621,196.2325
2017/8/18,3724.6748,6347.7557,10693.65,5790.909,2425.55,12165.19,278.5,1762.949951,2487.34,155.2116,196.2156
2017/8/21,3740.9941,6403.7803,10751.54,5786.537,2428.37,12065.99,277.51,1776.050049,2484.03,155.132,196.3345
2017/8/22,3752.298,6375.9814,10954.92,5873.333,2452.51,12229.34,276.67,1772.099976,2502.16,154.8263,196.2943
2017/8/23,3756.0884,6322.7819,10954.92,5851.783,2444.04,12174.3,277,1781.969971,2513.5,154.8409,196.2763
2017/8/24,3734.6458,6278.59,11051,5834.44,2438.97,12180.83,277.08,1776.069946,2514.62,154.7697,196.1683
2017/8/25,3795.7544,6346.5305,11288.36,5822.533,2443.05,12167.94,276.8,1779.459961,2528.91,154.6497,196.081
2017/8/28,3842.7119,6424.5841,11342.07,5838.082,2444.24,12123.47,278.21,1772.25,2524.8,154.5216,196.0578
2017/8/29,3834.5376,6408.1567,11296.08,5862.137,2446.3,11945.88,281.17,1771.189941,2521.67,154.5835,196.0181
2017/8/30,3834.3005,6453.4636,11374.46,5932.9,2457.59,12002.47,278,1776.75,2521.45,154.4195,195.9505
2017/8/31,3822.0928,6470.4259,11295.44,5988.604,2471.65,12055.84,277.91,1786.680054,2538.05,154.4879,195.9115
2017/9/1,3830.5383,6526.5046,11285.55,5987.9,2476.55,12142.64,279.54,1792.099976,2561.86,154.4992,195.9215
2017/9/4,3845.6163,6564.6804,11182.67,5987.9,2476.55,12102.21,282.04,1792.640015,2560.74,154.4649,195.991
2017/9/5,3857.0464,6571.8591,11191.59,5932.731,2457.85,12123.71,281.2,1790.949951,2575.24,154.3486,195.9932
2017/9/6,3849.4499,6607.1176,11128.77,5951.126,2465.54,12214.54,282.44,1795.640015,2603.59,154.3353,196.0334
2017/9/7,3829.8713,6558.5963,11098.72,5964.312,2465.1,12296.63,281.39,1808.640015,2616.26,154.5338,196.072
2017/9/8,3825.9895,6574.1826,11149.64,5913.369,2461.43,12303.98,281.75,1812.839966,2596.62,154.9018,196.1387
2017/9/11,3825.6453,6649.6276,11221.13,5980.525,2488.11,12475.24,281.49,1821.939941,2614.77,154.9621,196.3191
2017/9/12,3837.9341,6644.0118,11242.06,5995.635,2496.48,12524.77,279.85,1805.630005,2625.46,154.8718,196.3995
2017/9/13,3842.6061,6684.3798,11187.07,6004.38,2498.37,12553.57,280.67,1800,2648.02,154.9079,196.4464
2017/9/14,3829.9554,6672.1849,11101.14,5968.817,2495.62,12540.45,279.8,1810.540039,2660.56,154.9178,196.5172
2017/9/15,3831.2965,6622.0438,11067.55,5987.999,2500.23,12518.81,280.2,1815.209961,2666.07,155.1441,196.5752
2017/9/18,3843.1428,6669.4548,11195.98,5981.118,2503.87,12559.39,278.93,1807.359985,2677.29,155.0731,196.6953
2017/9/19,3832.1161,6636.0201,11125.71,5991.078,2506.65,12561.79,278.65,1796.349976,2684.12,155.0632,196.7335
2017/9/20,3842.4353,6692.4724,11173.51,5973.604,2508.24,12569.17,278.89,1794.670044,2710.35,154.9955,196.7505
2017/9/21,3837.8176,6612.0456,11198.32,5934.914,2500.6,12600.03,276.45,1783.670044,2709.75,155.0793,196.8076
2017/9/22,3837.7304,6572.0096,11109,5932.321,2502.22,12592.35,277.3,1778.469971,2722.64,154.9185,196.8302
2017/9/25,3817.7915,6489.8441,10912.46,5867.348,2496.66,12594.81,276.55,1783.660034,2752.57,155.2725,196.923
2017/9/26,3820.7816,6520.7175,10968.39,5881.336,2496.84,12605.2,280.1,1783.369995,2747.72,155.2529,196.948
2017/9/27,3821.2,6583.1401,11035.78,5937.791,2507.04,12657.41,277.65,1769.290039,2752.04,155.0549,196.9624
2017/9/28,3822.5386,6567.7915,10874.52,5933.069,2510.06,12704.65,276.67,1778.150024,2754.11,155.2524,196.9464
2017/9/29,3836.5013,6603.2587,10910.04,5979.298,2519.36,12828.86,277.45,1783.5,2756.65,155.3119,196.9769
2017/10/9,3882.2076,6678.371,11385.38,6058.531,2544.73,12976.4,276.3,1784.459961,2741,155.4338,197.2424
2017/10/10,3889.8637,6705.4812,11418.76,6063.521,2550.64,12949.25,276.21,1790.849976,2752.6,155.2729,197.2484
2017/10/11,3902.6868,6666.4696,11411.41,6081.25,2555.24,12970.68,275.1,1795.569946,2761.33,155.3737,197.266
2017/10/12,3912.9536,6659.0957,11500.34,6069.988,2550.93,12982.89,276.25,1803.670044,2751.47,155.3353,197.3209
2017/10/13,3921.0017,6709.8164,11519.81,6092.453,2553.17,12991.87,276.5,1808.589966,2760.57,155.1773,197.3594
2017/10/16,3913.4462,6619.2056,11602.92,6114.526,2557.64,13003.7,278.05,1802.829956,2764.17,155.0147,197.2536
2017/10/17,3913.0688,6612.9428,11568.31,6122.61,2559.36,12995.06,276.62,1802.420044,2759,154.7094,197.1696
2017/10/18,3944.1626,6563.4369,11621.95,6114.352,2561.26,13043.03,275.7,1803.089966,2747.94,154.5703,197.1554
2017/10/19,3931.2495,6501.3999,11357.45,6092.616,2562.1,12990.1,274.9,1799.27002,2744.13,154.8509,197.1971
2017/10/20,3926.852,6571.424,11558.35,6108.816,2575.21,12991.28,274.82,1788.420044,2742.42,154.8281,197.2479
2017/10/23,3930.7981,6612.7637,11491.07,6067.832,2564.98,13003.14,274.08,1781.050049,2726.31,154.655,197.3392
2017/10/24,3959.3953,6603.0042,11405.55,6080.218,2569.13,13013.19,275.01,1772.26001,2732.54,154.7085,197.3801
2017/10/25,3976.949,6647.892,11493.3,6055.042,2557.15,12953.41,273.89,1767.430054,2716.11,154.5044,197.2542
2017/10/26,3993.5752,6671.9288,11446.21,6037.872,2560.4,13133.28,274.5,1759.130005,2715.34,154.4102,197.2714
2017/10/27,4021.9676,6630.8067,11643.57,6213.468,2581.07,13217.54,272.93,1762.089966,2731.8,154.2072,197.2706
2017/10/30,4009.7218,6511.7616,11563.38,6227.591,2572.83,13229.57,272.92,1762.079956,2760.33,153.7325,197.1753
2017/10/31,4006.7179,6560.2054,11507.72,6248.557,2575.26,13229.57,273.94,1765.459961,2772.83,153.3308,197.0122
2017/11/1,3996.6221,6552.9545,11636.49,6248.646,2579.36,13465.51,273.45,1768.300049,2799.03,153.312,197.0018
2017/11/2,3997.1343,6484.9258,11598.36,6236.391,2579.85,13440.93,273.34,1778.310059,2800.33,153.3137,197.0555
2017/11/3,3992.6979,6426.9799,11602.4,6295.582,2587.84,13478.86,273.6,1776.23999,2804.89,153.2962,197.0995
2017/11/6,4020.8896,6511.0958,11524.64,6313.607,2591.13,13468.79,273,1782.25,2853.77,153.2591,197.1475
2017/11/7,4054.2465,6551.9363,11645.53,6320.777,2590.64,13379.27,274.34,1796.140015,2863.88,153.2218,197.1179
2017/11/8,4048.0057,6561.6897,11576.13,6345.811,2594.38,13382.42,274.57,1804.599976,2860.12,152.961,196.9999
2017/11/9,4075.8998,6611.3517,11744.54,6312.207,2584.62,13182.56,275.37,1809.079956,2865.03,152.8024,196.9623
2017/11/10,4111.9112,6641.2164,11745.81,6309.066,2582.3,13127.47,275.94,1812.25,2852.62,152.7438,196.9772
2017/11/13,4128.0733,6671.2054,11684.51,6316.177,2584.84,13074.42,274.99,1815.640015,2830.58,152.3945,196.8477
2017/11/14,4099.351,6614.5136,11601.69,6293.642,2578.87,13033.48,274.49,1813.540039,2785.08,151.7935,196.6398
2017/11/15,4073.6696,6537.6563,11412.75,6258.359,2564.62,12976.37,275.05,1801.329956,2749.69,151.4873,196.4929
2017/11/16,4105.0122,6558.3085,11533.96,6339.141,2585.64,13047.22,274,1814.969971,2744.97,151.5022,196.3472
2017/11/17,4120.8508,6361.9415,11608.73,6314.51,2578.85,12993.73,274.85,1812.609985,2753.43,151.6536,196.3585
2017/11/20,4143.8334,6433.1702,11538.28,6308.608,2582.14,13058.66,276.3,1809.680054,2748.62,151.4599,196.3561
2017/11/21,4217.7015,6456.352,11874.37,6378.628,2599.03,13167.54,274.89,1820.72998,2763.41,151.1664,196.3107
2017/11/22,4227.5666,6439.4419,11958.63,6386.12,2597.08,13015.04,274.74,1819.140015,2783.82,150.5245,196.1826
2017/11/23,4102.3966,6274.5116,11737.06,6386.12,2597.08,13008.55,275.2,1821.550049,2789.71,149.7823,195.8337
2017/11/24,4104.2034,6278.0287,11908.19,6409.287,2602.42,13059.84,275.25,1825.51001,2796.77,149.866,195.7418
2017/11/27,4049.9475,6194.5522,11772.27,6405.965,2601.42,13000.2,275.34,1818.98999,2768.48,150.1594,195.6633
2017/11/28,4055.8235,6299.3122,11705.58,6422.557,2627.04,13059.53,275.7,1813.089966,2780.15,150.2279,195.5409
2017/11/29,4053.7529,6318.3684,11647.98,6311.375,2626.07,13061.87,276.2,1814.76001,2781.59,150.1987,195.5597
2017/11/30,4006.0993,6263.421,11475.72,6365.564,2647.58,13023.98,274.39,1820.52002,2804.72,150.3833,195.4737
2017/12/1,3998.1365,6316.4072,11449.43,6337.874,2642.22,12861.49,272.83,1821.089966,2827.41,150.6157,195.4753
2017/12/4,4018.8571,6279.6206,11518.07,6263.701,2639.44,13058.55,272.65,1818.5,2832.39,150.9507,195.5682
2017/12/5,4040.1704,6132.912,11484.69,6265.111,2629.57,13048.54,272.87,1808.709961,2824.51,151.281,195.687
2017/12/6,4015.8211,6172.8031,11162.58,6293.054,2629.27,12998.85,271.43,1806.869995,2791.42,151.2556,195.7906
2017/12/7,3971.0569,6135.4702,11150.73,6316.278,2636.98,13045.15,269.28,1809.77002,2790.86,151.2963,195.8802
2017/12/8,4003.3792,6203.1433,11289.57,6344.568,2651.5,13153.7,267.79,1817.579956,2804.68,151.3121,195.9152
2017/12/11,4069.4997,6286.1656,11431.62,6393.888,2659.99,13123.65,268.28,1818.449951,2828.1,151.1396,195.9675
2017/12/12,4016.0163,6233.2115,11312.57,6383.652,2664.11,13183.53,267.5,1827.430054,2838.09,150.8368,195.9604
2017/12/13,4050.0927,6277.441,11519.79,6394.667,2662.85,13125.64,267.79,1834.27002,2828.98,150.7378,195.9732
2017/12/14,4026.1516,6284.0807,11531.73,6389.907,2652.01,13068.08,270,1835.02002,2822.49,150.9296,195.9618
2017/12/15,3980.8558,6235.7608,11365.92,6466.32,2675.81,13103.56,269.57,1842.619995,2810.83,151.0016,195.9287
2017/12/18,3985.2914,6199.9889,11415.13,6513.269,2690.16,13312.3,269.9,1855.939941,2837.24,151.0582,196.0641
2017/12/19,4035.3294,6251.2416,11541.88,6480.667,2681.47,13215.79,271.31,1828.069946,2833.02,150.9695,196.0113
2017/12/20,4030.4898,6199.3628,11505.88,6472.482,2679.25,13069.17,270.68,1812.079956,2859.76,150.8999,195.9812
2017/12/21,4067.8485,6238.4987,11596.94,6472.688,2684.57,13109.74,270.15,1805.699951,2908.62,150.7613,196.0277
2017/12/22,4054.5984,6242.8847,11653.08,6465.166,2683.34,13072.79,270.54,1812.25,2914.66,150.813,196.0847
2017/12/25,4041.5401,6185.5907,11653.08,6465.166,2683.34,13072.79,271.55,1812.640015,2914.9,150.8635,196.1054
2017/12/26,4053.6224,6220.1473,11653.08,6433.162,2680.5,13072.79,271.92,1820.459961,2932.3,150.7509,196.1042
2017/12/27,3991.2075,6173.1528,11617.75,6435.152,2682.62,13070.02,272.75,1829.410034,2938.34,150.577,196.1362
2017/12/28,4018.8974,6204.2702,11683.99,6441.42,2687.54,12979.94,273.5,1841.27002,2946.36,150.7582,196.0958
2017/12/29,4030.8549,6250.8207,11709.3,6396.422,2673.61,12917.64,273,1842.130005,2943.96,150.7979,196.1813
2018/1/2,4087.4012,6332.2269,12068.99,6511.342,2695.81,12871.39,275.3,1839.219971,2989.07,150.8758,196.3709
2018/1/3,4111.3925,6388.2533,12088.99,6575.803,2713.06,12978.21,276,1837.430054,3024.82,150.7991,196.3902
2018/1/4,4128.8119,6417.535,12203.55,6584.578,2723.99,13167.89,275.19,1813.560059,3060.53,150.4835,196.4078
2018/1/5,4138.7505,6417.2537,12211.63,6653.291,2743.15,13319.64,276.26,1816.170044,3063.81,150.433,196.439
2018/1/8,4160.1595,6446.1818,12235.19,6676.631,2747.71,13367.78,276.6,1822.050049,3071.41,150.5004,196.5182
2018/1/9,4189.2977,6445.7462,12255.68,6677.936,2751.29,13385.59,277.19,1807.680054,3068.74,150.5818,196.5159
2018/1/10,4207.8132,6405.9395,12289.17,6662.658,2748.23,13281.34,276.65,1790.22998,3074.21,150.3741,196.6011
2018/1/11,4205.5863,6425.9401,12295.52,6708.492,2767.56,13202.9,277.8,1784.900024,3115.38,150.1657,196.4237
2018/1/12,4225.001,6399.3737,12468.93,6758.541,2786.24,13245.03,278.38,1777.589966,3145.39,149.9477,196.441
2018/1/15,4225.2393,6253.3759,12470.42,6758.541,2786.24,13200.51,279.54,1783.050049,3154.46,149.7864,196.452
2018/1/16,4258.473,6301.1327,12787.28,6737.137,2776.42,13246.33,278.8,1783.689941,3124.85,149.7908,196.4882
2018/1/17,4248.1164,6267.4599,12868.78,6810.283,2802.56,13183.96,277.65,1796.51001,3138.31,149.6888,196.53
2018/1/18,4271.4168,6286.8007,13094.92,6811.378,2798.03,13281.43,276.15,1783.280029,3124.89,149.5189,196.4991
2018/1/19,4285.395,6272.38,13179.52,6834.33,2810.3,13434.45,275.6,1789.630005,3116.23,149.3639,196.5432
2018/1/22,4336.5974,6347.6383,13204.58,6906.278,2832.97,13463.69,275.95,1803.599976,3165.98,149.3764,196.6362
2018/1/23,4382.6129,6354.9978,13490.45,6963.463,2839.13,13559.6,277.14,1823.97998,3170.51,149.3242,196.6635
2018/1/24,4389.8853,6394.2999,13620.93,6919.353,2837.54,13414.74,277.84,1822.98999,3187.78,149.3765,196.6786
2018/1/25,4365.0794,6382.7165,13388.16,6916.304,2839.25,13298.36,278.87,1821.890015,3183.24,149.4335,196.7269
2018/1/26,4381.2996,6383.6312,13723.96,7022.971,2872.87,13340.17,277.5,1817.670044,3182.24,149.5274,196.7564
2018/1/29,4302.0181,6309.8836,13659.59,6988.315,2853.53,13324.48,275.98,1796.430054,3143.94,149.4769,196.8619
2018/1/30,4256.1021,6313.442,13389.38,6930.728,2822.43,13197.71,274,1784.780029,3082.23,149.4558,196.8762
2018/1/31,4275.8986,6189.3413,13561.65,6949.987,2823.81,13189.48,274.05,1811.97998,3081.71,149.5354,196.9218
2018/2/1,4245.8978,5984.7428,13434.14,6901.504,2821.98,13003.9,273.4,1780.900024,3103.83,149.6998,197.0265
2018/2/2,4271.2326,6004.8494,13538.66,6760.29,2762.13,12785.16,273.75,1762.199951,3014.46,149.8445,197.0639
2018/2/5,4274.1464,5998.2236,13479.83,6495.919,2648.94,12687.49,271.49,1716.819946,2921.23,149.8682,197.1875
2018/2/6,4148.8856,5704.2641,12686.6,6665.979,2695.14,12392.66,273.24,1701.030029,2897.48,150.1311,197.2816
2018/2/7,4050.4972,5711.3322,12433.29,6582.022,2681.66,12590.43,269.79,1700.209961,2883.95,150.3091,197.3515
2018/2/8,4012.0472,5766.4797,12380.38,6306.1,2581,12260.29,269.3,1665.77002,2807.74,150.5769,197.4312
2018/2/9,3840.6527,5554.8974,11901.67,6412.68,2619.55,12107.48,269.55,1688.349976,2780.1,150.6187,197.4379
2018/2/12,3890.1046,5699.0979,11900.31,6523.851,2656,12282.77,270.1,1690.530029,2819.74,150.6997,197.5843
2018/2/13,3935.6324,5736.9505,12004.51,6553.864,2662.94,12196.5,271.14,1700.01001,2816.48,150.7679,197.6935
2018/2/14,3966.9614,5754.8344,12260.99,6675.032,2698.63,12339.16,273.21,1692.030029,2850.43,150.8885,197.8051
2018/2/22,4052.7332,5875.7272,12528.64,6761.854,2703.96,12461.91,271.36,1697.099976,2860.33,150.8564,197.9755
2018/2/23,4071.0889,5897.6765,12735.06,6896.601,2747.3,12483.79,271.96,1720.069946,2904.75,150.9264,198.0523
2018/2/26,4118.4186,6029.6795,12834.06,6989.097,2779.6,12527.04,273.6,1727.150024,2928.11,151.3172,198.1888
2018/2/27,4058.9806,6010.5573,12646.54,6900.351,2744.28,12490.73,272.36,1694.209961,2898.87,151.7442,198.3151
2018/2/28,4023.6415,6023.677,12382.08,6854.417,2713.83,12435.85,270.3,1690.01001,2840.27,151.9282,198.417
2018/3/1,4049.0863,6090.2247,12428.88,6750.542,2677.67,12190.94,269.78,1690.27002,2822.74,152.0429,198.4747
2018/3/2,4016.461,6056.3354,12203.91,6811.04,2691.25,11913.71,270.9,1692.199951,2815.73,151.9421,198.566
2018/3/5,4018.097,6064.0983,11991.79,6881.283,2720.94,12090.87,272.09,1704.030029,2844.31,151.8528,198.6759
